INDEX,Issuer Ticker,Name,Asset Class,Weight (%),Sector,Exchange,Location,Market Currency
SWDA,AAPL,APPLE INC,Equity,4.17,Information Technology,NASDAQ,United States,USD
SWDA,MSFT,MICROSOFT CORP,Equity,3.46,Information Technology,NASDAQ,United States,USD
SWDA,AMZN,AMAZON COM INC,Equity,2.36,Consumer Discretionary,NASDAQ,United States,USD
SWDA,FB,FACEBOOK CLASS A INC,Equity,1.46,Communication,NASDAQ,United States,USD
SWDA,GOOGL,ALPHABET INC CLASS A,Equity,1.38,Communication,NASDAQ,United States,USD
SWDA,GOOG,ALPHABET INC CLASS C,Equity,1.36,Communication,NASDAQ,United States,USD
SWDA,TSLA,TESLA INC,Equity,0.92,Consumer Discretionary,NASDAQ,United States,USD
SWDA,JPM,JPMORGAN CHASE & CO,Equity,0.82,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,NVDA,NVIDIA CORP,Equity,0.82,Information Technology,NASDAQ,United States,USD
SWDA,JNJ,JOHNSON & JOHNSON,Equity,0.77,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Equity,0.66,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,V,VISA INC CLASS A,Equity,0.65,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,UNH,UNITEDHEALTH GROUP INC,Equity,0.64,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,HD,HOME DEPOT INC,Equity,0.60,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,NESN,NESTLE SA,Equity,0.59,Consumer Staples,SIX Swiss Exchange,Switzerland,CHF
SWDA,PG,PROCTER & GAMBLE,Equity,0.58,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,ASML,ASML HOLDING NV,Equity,0.55,Information Technology,Euronext Amsterdam,Netherlands,EUR
SWDA,BAC,BANK OF AMERICA CORP,Equity,0.55,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,DIS,WALT DISNEY,Equity,0.54,Communication,New York Stock Exchange Inc.,United States,USD
SWDA,MA,MASTERCARD INC CLASS A,Equity,0.54,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,PYPL,PAYPAL HOLDINGS INC,Equity,0.51,Information Technology,NASDAQ,United States,USD
SWDA,ADBE,ADOBE INC,Equity,0.51,Information Technology,NASDAQ,United States,USD
SWDA,ROG,ROCHE HOLDING PAR AG,Equity,0.47,Health Care,SIX Swiss Exchange,Switzerland,CHF
SWDA,CMCSA,COMCAST CORP CLASS A,Equity,0.45,Communication,NASDAQ,United States,USD
SWDA,PFE,PFIZER INC,Equity,0.44,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,XOM,EXXON MOBIL CORP,Equity,0.41,Energy,New York Stock Exchange Inc.,United States,USD
SWDA,CRM,SALESFORCE.COM INC,Equity,0.40,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,CSCO,CISCO SYSTEMS INC,Equity,0.40,Information Technology,NASDAQ,United States,USD
SWDA,MC,LVMH,Equity,0.39,Consumer Discretionary,Nyse Euronext - Euronext Paris,France,EUR
SWDA,WMT,WALMART INC,Equity,0.39,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,KO,COCA-COLA,Equity,0.39,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,VZ,VERIZON COMMUNICATIONS INC,Equity,0.38,Communication,New York Stock Exchange Inc.,United States,USD
SWDA,NFLX,NETFLIX INC,Equity,0.37,Communication,NASDAQ,United States,USD
SWDA,INTC,INTEL CORPORATION CORP,Equity,0.36,Information Technology,NASDAQ,United States,USD
SWDA,NKE,NIKE INC CLASS B,Equity,0.36,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,ABT,ABBOTT LABORATORIES,Equity,0.36,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,PEP,PEPSICO INC,Equity,0.36,Consumer Staples,NASDAQ,United States,USD
SWDA,LLY,ELI LILLY,Equity,0.36,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.36,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,WFC,WELLS FARGO,Equity,0.35,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,NOVN,NOVARTIS AG,Equity,0.35,Health Care,SIX Swiss Exchange,Switzerland,CHF
SWDA,ABBV,ABBVIE INC,Equity,0.34,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ACN,ACCENTURE PLC CLASS A,Equity,0.34,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,DHR,DANAHER CORP,Equity,0.34,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,T,AT&T INC,Equity,0.33,Communication,New York Stock Exchange Inc.,United States,USD
SWDA,CVX,CHEVRON CORP,Equity,0.33,Energy,New York Stock Exchange Inc.,United States,USD
SWDA,AVGO,BROADCOM INC,Equity,0.33,Information Technology,NASDAQ,United States,USD
SWDA,COST,COSTCO WHOLESALE CORP,Equity,0.32,Consumer Staples,NASDAQ,United States,USD
SWDA,MRK,MERCK & CO INC,Equity,0.32,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,7203,TOYOTA MOTOR CORP,Equity,0.32,Consumer Discretionary,Tokyo Stock Exchange,Japan,JPY
SWDA,MCD,MCDONALDS CORP,Equity,0.29,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,NOVO B,NOVO NORDISK CLASS B,Equity,0.29,Health Care,Omx Nordic Exchange Copenhagen A/S,Denmark,DKK
SWDA,AZN,ASTRAZENECA PLC,Equity,0.29,Health Care,London Stock Exchange,United Kingdom,GBP
SWDA,SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Equity,0.29,Information Technology,Toronto Stock Exchange,Canada,CAD
SWDA,MDT,MEDTRONIC PLC,Equity,0.29,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ORCL,ORACLE CORP,Equity,0.28,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,TXN,TEXAS INSTRUMENT INC,Equity,0.28,Information Technology,NASDAQ,United States,USD
SWDA,QCOM,QUALCOMM INC,Equity,0.28,Information Technology,NASDAQ,United States,USD
SWDA,NEE,NEXTERA ENERGY INC,Equity,0.27,Utilities,New York Stock Exchange Inc.,United States,USD
SWDA,HON,HONEYWELL INTERNATIONAL INC,Equity,0.27,Industrials,NASDAQ,United States,USD
SWDA,LIN,LINDE PLC,Equity,0.27,Materials,New York Stock Exchange Inc.,United States,USD
SWDA,C,CITIGROUP INC,Equity,0.26,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.26,Consumer Staples,New York Stock Exchange Inc.,United States,USD
SWDA,UNP,UNION PACIFIC CORP,Equity,0.26,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,SAP,SAP,Equity,0.25,Information Technology,Xetra,Germany,EUR
SWDA,BMY,BRISTOL MYERS SQUIBB,Equity,0.25,Health Care,New York Stock Exchange Inc.,United States,USD
SWDA,ULVR,UNILEVER PLC,Equity,0.25,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,RY,ROYAL BANK OF CANADA,Equity,0.25,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,MS,MORGAN STANLEY,Equity,0.25,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,INTU,INTUIT INC,Equity,0.24,Information Technology,NASDAQ,United States,USD
SWDA,1299,AIA GROUP LTD,Equity,0.24,Financials,Hong Kong Exchanges And Clearing Ltd,Hong Kong,HKD
SWDA,GS,GOLDMAN SACHS GROUP INC,Equity,0.24,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,LOW,LOWES COMPANIES INC,Equity,0.23,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.23,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BLK,BLACKROCK INC,Equity,0.23,Financials,New York Stock Exchange Inc.,United States,USD
SWDA,CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.23,Financials,Asx - All Markets,Australia,AUD
SWDA,SBUX,STARBUCKS CORP,Equity,0.23,Consumer Discretionary,NASDAQ,United States,USD
SWDA,AMGN,AMGEN INC,Equity,0.22,Health Care,NASDAQ,United States,USD
SWDA,TGT,TARGET CORP,Equity,0.22,Consumer Discretionary,New York Stock Exchange Inc.,United States,USD
SWDA,RTX,RAYTHEON TECHNOLOGIES CORP,Equity,0.22,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,BA,BOEING,Equity,0.22,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,6758,SONY GROUP CORP,Equity,0.22,Consumer Discretionary,Tokyo Stock Exchange,Japan,JPY
SWDA,SIE,SIEMENS N AG,Equity,0.21,Industrials,Xetra,Germany,EUR
SWDA,TD,TORONTO DOMINION,Equity,0.21,Financials,Toronto Stock Exchange,Canada,CAD
SWDA,IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.21,Information Technology,New York Stock Exchange Inc.,United States,USD
SWDA,AMD,ADVANCED MICRO DEVICES INC,Equity,0.21,Information Technology,NASDAQ,United States,USD
SWDA,MRNA,MODERNA INC,Equity,0.21,Health Care,NASDAQ,United States,USD
SWDA,AMT,AMERICAN TOWER REIT CORP,Equity,0.21,Real Estate,New York Stock Exchange Inc.,United States,USD
SWDA,CAT,CATERPILLAR INC,Equity,0.20,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,OR,LOREAL SA,Equity,0.20,Consumer Staples,Nyse Euronext - Euronext Paris,France,EUR
SWDA,AMAT,APPLIED MATERIAL INC,Equity,0.20,Information Technology,NASDAQ,United States,USD
SWDA,DGE,DIAGEO PLC,Equity,0.20,Consumer Staples,London Stock Exchange,United Kingdom,GBP
SWDA,GE,GENERAL ELECTRIC,Equity,0.19,Industrials,New York Stock Exchange Inc.,United States,USD
SWDA,HSBA,HSBC HOLDINGS PLC,Equity,0.19,Financials,London Stock Exchange,United Kingdom,GBP
SWDA,TTE,TOTALENERGIES,Equity,0.19,Energy,Nyse Euronext - Euronext Paris,France,EUR
SWDA,BHP,BHP GROUP LTD,Equity,0.19,Materials,Asx - All Markets,Australia,AUD
