GER;DAX;ADS.DE;Adidas;Clothing
GER;DAX;ALV.DE;Allianz;Insurance
GER;DAX;BAS.DE;BASF;Chemicals
GER;DAX;BAYN.DE;Bayer;Pharmaceuticals and chemicals
GER;DAX;BEI.DE;Beiersdorf;Consumer goods and chemicals
GER;DAX;BMW.DE;BMW;Manufacturing
GER;DAX;CON.DE;Continental;Manufacturing
GER;DAX;1COV.DE;Covestro;Chemicals
GER;DAX;DAI.DE;Daimler;Manufacturing
GER;DAX;DBK.DE;Deutsche Bank;Banking
GER;DAX;DB1.DE;Deutsche Börse;Securities
GER;DAX;LHA.DE;Deutsche Lufthansa;Transport Aviation
GER;DAX;DPW.DE;Deutsche Post;Logistics
GER;DAX;DTE.DE;Deutsche Telekom;Communications
GER;DAX;EOAN.DE;E.ON;Energy
GER;DAX;FRE.DE;Fresenius;Medical
GER;DAX;FME.DE;Fresenius Medical Care;Medical
GER;DAX;HEI.DE;HeidelbergCement;Building
GER;DAX;HEN3.DE;Henkel;Consumer goods and chemicals
GER;DAX;IFX.DE;Infineon Technologies;Semiconductors
GER;DAX;LIN.DE;Linde;Industrial gases
GER;DAX;MRK.DE;Merck;Pharmaceuticals
GER;DAX;MTX.DE;MTU Aero Engines;Aerospace
GER;DAX;MUV2.DE;Munich Re;Insurance
GER;DAX;RWE.DE;RWE;Energy
GER;DAX;SAP.DE;SAP;Software
GER;DAX;SIE.DE;Siemens;Industrial, electronics
GER;DAX;VOW3.DE;Volkswagen Group;Manufacturing
GER;DAX;VNA.DE;Vonovia;Real estate
GER;DAX;WDI.DE;Wirecard;Financial Technology
SUI;SMI;ABBN.SW;ABB;electronic and electrical equipment
SUI;SMI;ADEN.SW;Adecco;business training and employment agencies
SUI;SMI;ALC.SW;Alcon;healthcare
SUI;SMI;CSGN.SW;Credit Suisse;banks
SUI;SMI;GEBN.SW;Geberit;building materials and fixtures
SUI;SMI;GIVN.SW;Givaudan;specialty chemicals
SUI;SMI;LHN.SW;LafargeHolcim;building materials and fixtures
SUI;SMI;LONN.SW;Lonza;pharmaceuticals and biotechnology
SUI;SMI;NESN.SW;Nestlé;food products
SUI;SMI;NOVN.SW;Novartis;pharmaceuticals
SUI;SMI;CFR.SW;Richemont;clothing and accessories
SUI;SMI;ROG.SW;Roche;pharmaceuticals
SUI;SMI;SGSN.SW;SGS;business support services
SUI;SMI;SIKA.SW;Sika;specialty chemicals
SUI;SMI;UHR.SW;Swatch;clothing and accessories
SUI;SMI;SLHN.SW;Swiss Life;life insurance
SUI;SMI;SREN.SW;Swiss Re;reinsurance
SUI;SMI;SCMN.SW;Swisscom;fixed line telecommunications
SUI;SMI;UBSG.SW;UBS;banks
SUI;SMI;ZURN.SW;Zurich Insurance;full line insurance
Italy;FTSE MIB;A2A.MI;A2A;Electricity
Italy;FTSE MIB;AMP.MI;Amplifon;Health
Italy;FTSE MIB;ATL.MI;Atlantia;Industrial Transportation
Italy;FTSE MIB;AZM.MI;Azimut;Financial Services
Italy;FTSE MIB;BGN.MI;Banca Generali;Financial Services
Italy;FTSE MIB;BAMI.MI;Banco BPM;Banking
Italy;FTSE MIB;BPE.MI;BPER Banca;Banking
Italy;FTSE MIB;BRE.MI;Brembo;Automotives
Italy;FTSE MIB;BZU.MI;Buzzi Unicem;Construction
Italy;FTSE MIB;CPR.MI;Campari;Beverages
