NASDAQ;
New York Stock Exchange Inc.;
New York Stock Exchange;
SIX Swiss Exchange;.SW
Euronext Amsterdam;.AS
Nyse Euronext - Euronext Paris;.PA
Euronext Paris;.PA
Tokyo Stock Exchange;.T
Omx Nordic Exchange Copenhagen A/S;.CO
London Stock Exchange;.L
Toronto Stock Exchange;.TO
Xetra;.DE
XETRA;.DE
Hong Kong Exchanges And Clearing Ltd;.HK
Asx - All Markets;.AX
Borsa Italiana;.MI
Milan Stock Exchange;.MI
Bolsa De Madrid;.MC
Mercado Continuo Espana;.MC
Nasdaq Omx Nordic;.ST
Nyse Euronext - Euronext Brussels;.BR
Euronext Brussels;.BR
Singapore Exchange;.SI
Irish Stock Exchange - All Market;.IR
Irish Stock Exchange;.IR
Nasdaq Omx Helsinki Ltd.;.HE
Helsinki Stock Exchange;.HE
Nyse Mkt Llc;
Oslo Bors Asa;.OL
Nyse Euronext - Euronext Lisbon;.LS
Cboe BZX formerly known as BATS;
Tel Aviv Stock Exchange;.TA
New Zealand Exchange Ltd;.NZ
Wiener Boerse Ag;.VI
Taiwan Stock Exchange;.TW
Korea Exchange (Stock Market);.KS
Johannesburg Stock Exchange;.JO
National Stock Exchange Of India;.NS
XBSP;.SA
Standard-Classica-Forts;.ME
Bolsa Mexicana De Valores;.MX
Indonesia Stock Exchange;.JK
Qatar Exchange;.QA
Kuwait Stock Exchange;na
Abu Dhabi Securities Exchange;na
Bursa Malaysia;.KL
Budapest Stock Exchange;.BP
Stock Exchange Of Thailand;.BK
Dubai Financial Market;.na
Warsaw Stock Exchange/Equities/Main Market;.WA
Korea Exchange (Kosdaq);.KQ
Santiago Stock Exchange;.SN
Philippine Stock Exchange Inc.;.na
Gretai Securities Market;.TWO
Prague Stock Exchange;.PR
Egyptian Exchange;.CA
Athens Exchange S.A. Cash Market;.AT
Istanbul Stock Exchange;.IS
Bolsa De Valores De Colombia;.na
Shenzhen Stock Exchange;.SZ
Saudi Stock Exchange;.SR
Shanghai Stock Exchange;.SS
Karachi Stock Exchange (Guarantee) Limited;.na
Non-Nms Quotation Service (Nnqs);
US;
TW;.TW
JP;.T
KR;.KS
PL;.WA
SE;.ST
FR;.PA
HK;.HK
NLB;.NE
