AAPL;APPLE INC;Information Technology;NASDAQ;United States;USD
MSFT;MICROSOFT CORP;Information Technology;NASDAQ;United States;USD
AMZN;AMAZON COM INC;Consumer Discretionary;NASDAQ;United States;USD
FB;FACEBOOK CLASS A INC;Communication;NASDAQ;United States;USD
GOOGL;ALPHABET INC CLASS A;Communication;NASDAQ;United States;USD
GOOG;ALPHABET INC CLASS C;Communication;NASDAQ;United States;USD
TSLA;TESLA INC;Consumer Discretionary;NASDAQ;United States;USD
JPM;JPMORGAN CHASE & CO;Financials;New York Stock Exchange Inc.;United States;USD
NVDA;NVIDIA CORP;Information Technology;NASDAQ;United States;USD
JNJ;JOHNSON & JOHNSON;Health Care;New York Stock Exchange Inc.;United States;USD
BRK-B;BERKSHIRE HATHAWAY INC CLASS B;Financials;New York Stock Exchange Inc.;United States;USD
V;VISA INC CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
UNH;UNITEDHEALTH GROUP INC;Health Care;New York Stock Exchange Inc.;United States;USD
HD;HOME DEPOT INC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
NESN.SW;NESTLE SA;Consumer Staples;SIX Swiss Exchange;Switzerland;CHF
PG;PROCTER & GAMBLE;Consumer Staples;New York Stock Exchange Inc.;United States;USD
ASML.AS;ASML HOLDING NV;Information Technology;Euronext Amsterdam;Netherlands;EUR
BAC;BANK OF AMERICA CORP;Financials;New York Stock Exchange Inc.;United States;USD
DIS;WALT DISNEY;Communication;New York Stock Exchange Inc.;United States;USD
MA;MASTERCARD INC CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
PYPL;PAYPAL HOLDINGS INC;Information Technology;NASDAQ;United States;USD
ADBE;ADOBE INC;Information Technology;NASDAQ;United States;USD
ROG.SW;ROCHE HOLDING PAR AG;Health Care;SIX Swiss Exchange;Switzerland;CHF
CMCSA;COMCAST CORP CLASS A;Communication;NASDAQ;United States;USD
PFE;PFIZER INC;Health Care;New York Stock Exchange Inc.;United States;USD
XOM;EXXON MOBIL CORP;Energy;New York Stock Exchange Inc.;United States;USD
CRM;SALESFORCE.COM INC;Information Technology;New York Stock Exchange Inc.;United States;USD
CSCO;CISCO SYSTEMS INC;Information Technology;NASDAQ;United States;USD
MC.PA;LVMH;Consumer Discretionary;Nyse Euronext - Euronext Paris;France;EUR
WMT;WALMART INC;Consumer Staples;New York Stock Exchange Inc.;United States;USD
KO;COCA-COLA;Consumer Staples;New York Stock Exchange Inc.;United States;USD
VZ;VERIZON COMMUNICATIONS INC;Communication;New York Stock Exchange Inc.;United States;USD
NFLX;NETFLIX INC;Communication;NASDAQ;United States;USD
INTC;INTEL CORPORATION CORP;Information Technology;NASDAQ;United States;USD
NKE;NIKE INC CLASS B;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
ABT;ABBOTT LABORATORIES;Health Care;New York Stock Exchange Inc.;United States;USD
PEP;PEPSICO INC;Consumer Staples;NASDAQ;United States;USD
LLY;ELI LILLY;Health Care;New York Stock Exchange Inc.;United States;USD
TMO;THERMO FISHER SCIENTIFIC INC;Health Care;New York Stock Exchange Inc.;United States;USD
WFC;WELLS FARGO;Financials;New York Stock Exchange Inc.;United States;USD
NOVN.SW;NOVARTIS AG;Health Care;SIX Swiss Exchange;Switzerland;CHF
ABBV;ABBVIE INC;Health Care;New York Stock Exchange Inc.;United States;USD
ACN;ACCENTURE PLC CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
DHR;DANAHER CORP;Health Care;New York Stock Exchange Inc.;United States;USD
T;AT&T INC;Communication;New York Stock Exchange Inc.;United States;USD
CVX;CHEVRON CORP;Energy;New York Stock Exchange Inc.;United States;USD
AVGO;BROADCOM INC;Information Technology;NASDAQ;United States;USD
COST;COSTCO WHOLESALE CORP;Consumer Staples;NASDAQ;United States;USD
MRK;MERCK & CO INC;Health Care;New York Stock Exchange Inc.;United States;USD
7203.T;TOYOTA MOTOR CORP;Consumer Discretionary;Tokyo Stock Exchange;Japan;JPY
MCD;MCDONALDS CORP;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
NOVO-B.CO;NOVO NORDISK CLASS B;Health Care;Omx Nordic Exchange Copenhagen A/S;Denmark;DKK
AZN.L;ASTRAZENECA PLC;Health Care;London Stock Exchange;United Kingdom;GBP
SHOP.TO;SHOPIFY SUBORDINATE VOTING INC CLA;Information Technology;Toronto Stock Exchange;Canada;CAD
MDT;MEDTRONIC PLC;Health Care;New York Stock Exchange Inc.;United States;USD
ORCL;ORACLE CORP;Information Technology;New York Stock Exchange Inc.;United States;USD
TXN;TEXAS INSTRUMENT INC;Information Technology;NASDAQ;United States;USD
QCOM;QUALCOMM INC;Information Technology;NASDAQ;United States;USD
NEE;NEXTERA ENERGY INC;Utilities;New York Stock Exchange Inc.;United States;USD
HON;HONEYWELL INTERNATIONAL INC;Industrials;NASDAQ;United States;USD
LIN;LINDE PLC;Materials;New York Stock Exchange Inc.;United States;USD
C;CITIGROUP INC;Financials;New York Stock Exchange Inc.;United States;USD
PM;PHILIP MORRIS INTERNATIONAL INC;Consumer Staples;New York Stock Exchange Inc.;United States;USD
UNP;UNION PACIFIC CORP;Industrials;New York Stock Exchange Inc.;United States;USD
SAP.DE;SAP;Information Technology;Xetra;Germany;EUR
BMY;BRISTOL MYERS SQUIBB;Health Care;New York Stock Exchange Inc.;United States;USD
ULVR.L;UNILEVER PLC;Consumer Staples;London Stock Exchange;United Kingdom;GBP
RY.TO;ROYAL BANK OF CANADA;Financials;Toronto Stock Exchange;Canada;CAD
MS;MORGAN STANLEY;Financials;New York Stock Exchange Inc.;United States;USD
INTU;INTUIT INC;Information Technology;NASDAQ;United States;USD
1299.HK;AIA GROUP LTD;Financials;Hong Kong Exchanges And Clearing Ltd;Hong Kong;HKD
GS;GOLDMAN SACHS GROUP INC;Financials;New York Stock Exchange Inc.;United States;USD
LOW;LOWES COMPANIES INC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
UPS;UNITED PARCEL SERVICE INC CLASS B;Industrials;New York Stock Exchange Inc.;United States;USD
BLK;BLACKROCK INC;Financials;New York Stock Exchange Inc.;United States;USD
CBA.AX;COMMONWEALTH BANK OF AUSTRALIA;Financials;Asx - All Markets;Australia;AUD
SBUX;STARBUCKS CORP;Consumer Discretionary;NASDAQ;United States;USD
AMGN;AMGEN INC;Health Care;NASDAQ;United States;USD
TGT;TARGET CORP;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
RTX;RAYTHEON TECHNOLOGIES CORP;Industrials;New York Stock Exchange Inc.;United States;USD
BA;BOEING;Industrials;New York Stock Exchange Inc.;United States;USD
6758.T;SONY GROUP CORP;Consumer Discretionary;Tokyo Stock Exchange;Japan;JPY
SIE.DE;SIEMENS N AG;Industrials;Xetra;Germany;EUR
TD.TO;TORONTO DOMINION;Financials;Toronto Stock Exchange;Canada;CAD
IBM;INTERNATIONAL BUSINESS MACHINES CO;Information Technology;New York Stock Exchange Inc.;United States;USD
AMD;ADVANCED MICRO DEVICES INC;Information Technology;NASDAQ;United States;USD
MRNA;MODERNA INC;Health Care;NASDAQ;United States;USD
AMT;AMERICAN TOWER REIT CORP;Real Estate;New York Stock Exchange Inc.;United States;USD
CAT;CATERPILLAR INC;Industrials;New York Stock Exchange Inc.;United States;USD
OR.PA;LOREAL SA;Consumer Staples;Nyse Euronext - Euronext Paris;France;EUR
AMAT;APPLIED MATERIAL INC;Information Technology;NASDAQ;United States;USD
DGE.L;DIAGEO PLC;Consumer Staples;London Stock Exchange;United Kingdom;GBP
GE;GENERAL ELECTRIC;Industrials;New York Stock Exchange Inc.;United States;USD
HSBA.L;HSBC HOLDINGS PLC;Financials;London Stock Exchange;United Kingdom;GBP
TTE.PA;TOTALENERGIES;Energy;Nyse Euronext - Euronext Paris;France;EUR
BHP.AX;BHP GROUP LTD;Materials;Asx - All Markets;Australia;AUD
AXP;AMERICAN EXPRESS;Financials;New York Stock Exchange Inc.;United States;USD
DE;DEERE;Industrials;New York Stock Exchange Inc.;United States;USD
ISRG;INTUITIVE SURGICAL INC;Health Care;NASDAQ;United States;USD
SAN.PA;SANOFI SA;Health Care;Nyse Euronext - Euronext Paris;France;EUR
NOW;SERVICENOW INC;Information Technology;New York Stock Exchange Inc.;United States;USD
MMM;3M;Industrials;New York Stock Exchange Inc.;United States;USD
6861.T;KEYENCE CORP;Information Technology;Tokyo Stock Exchange;Japan;JPY
CVS;CVS HEALTH CORP;Health Care;New York Stock Exchange Inc.;United States;USD
SCHW;CHARLES SCHWAB CORP;Financials;New York Stock Exchange Inc.;United States;USD
SPGI;S&P GLOBAL INC;Financials;New York Stock Exchange Inc.;United States;USD
CHTR;CHARTER COMMUNICATIONS INC CLASS A;Communication;NASDAQ;United States;USD
SQ;SQUARE INC CLASS A;Information Technology;New York Stock Exchange Inc.;United States;USD
GSK.L;GLAXOSMITHKLINE PLC;Health Care;London Stock Exchange;United Kingdom;GBP
SU.PA;SCHNEIDER ELECTRIC;Industrials;Nyse Euronext - Euronext Paris;France;EUR
ALV.DE;ALLIANZ;Financials;Xetra;Germany;EUR
CSL.AX;CSL LTD;Health Care;Asx - All Markets;Australia;AUD
PLD;PROLOGIS REIT INC;Real Estate;New York Stock Exchange Inc.;United States;USD
ZTS;ZOETIS INC CLASS A;Health Care;New York Stock Exchange Inc.;United States;USD
ANTM;ANTHEM INC;Health Care;New York Stock Exchange Inc.;United States;USD
RIO.L;RIO TINTO PLC;Materials;London Stock Exchange;United Kingdom;GBP
ADP;AUTOMATIC DATA PROCESSING INC;Information Technology;NASDAQ;United States;USD
LMT;LOCKHEED MARTIN CORP;Industrials;New York Stock Exchange Inc.;United States;USD
TMUS;T MOBILE US INC;Communication;NASDAQ;United States;USD
GILD;GILEAD SCIENCES INC;Health Care;NASDAQ;United States;USD
MDLZ;MONDELEZ INTERNATIONAL INC CLASS A;Consumer Staples;NASDAQ;United States;USD
MO;ALTRIA GROUP INC;Consumer Staples;New York Stock Exchange Inc.;United States;USD
BKNG;BOOKING HOLDINGS INC;Consumer Discretionary;NASDAQ;United States;USD
TJX;TJX INC;Consumer Discretionary;New York Stock Exchange Inc.;United States;USD
SYK;STRYKER CORP;Health Care;New York Stock Exchange Inc.;United States;USD
BP.L;BP PLC;Energy;London Stock Exchange;United Kingdom;GBP
CCI;CROWN CASTLE INTERNATIONAL REIT CO;Real Estate;New York Stock Exchange Inc.;United States;USD
USB;US BANCORP;Financials;New York Stock Exchange Inc.;United States;USD
LRCX;LAM RESEARCH CORP;Information Technology;NASDAQ;United States;USD
CB;CHUBB LTD;Financials;New York Stock Exchange Inc.;United States;USD
FIS;FIDELITY NATIONAL INFORMATION SERV;Information Technology;New York Stock Exchange Inc.;United States;USD
RDSA.L;ROYAL DUTCH SHELL PLC;Energy;London Stock Exchange;United Kingdom;GBP
PNC;PNC FINANCIAL SERVICES GROUP INC;Financials;New York Stock Exchange Inc.;United States;USD
COF;CAPITAL ONE FINANCIAL CORP;Financials;New York Stock Exchange Inc.;United States;USD
AI.PA;LAIR LIQUIDE SOCIETE ANONYME POUR;Materials;Nyse Euronext - Euronext Paris;France;EUR
